Policy Number,Policy Status,Age,Gender,Home Language,Family Status,Gross Household Income,Gross Income,Monthly Premium Original,Monthly Premium,Dfference between Household and Personal Income,Salary Day,Debit order day,Education,Occupation,Province,Postal Code,Policy Affordability %,Policy Affordability % Band,Response Outcome,Take Up Outcome,Contract Status,Collection Count
1,Cancelled,39,Male,Tsonga,Single,6800,6800,0,0,0,28,29,No Matric,Driver,Mpumalanga,2211,0.019,1.5 - 2.5%,1,1,0,6
2,Cancelled,41,Female,English,Married,15800,8600,0,0,7200,15,16,Matric,Admin Clerk,Western Cape,7764,0.007,0 - 1.5%,1,1,0,7
3,Cancelled,41,Male,Sotho,Married,17500,15000,0,0,2500,16,17,Matric,Retail Manager,Gauteng,200,0.029,2.5 - 5%,1,1,0,2
4,Installed,53,Male,Sotho,Married,9500,8000,209,123,1500,30,28,No Matric,Boilermaker,Gauteng,1426,0.013,0 - 1.5%,1,1,1,11
5,Cancelled,31,Male,Afrikaans,Single,44600,44600,0,0,0,25,1,Matric,Site Manager,Gauteng,1724,0.014,0 - 1.5%,1,1,0,1
6,Installed,36,Male,Sotho,Single,41000,41000,286,142,0,23,23,Matric,"Foreman, Supervisor - Oil Refining",Mpumalanga,0,0.004,0 - 1.5%,1,1,1,11
7,Installed,51,Male,Xhosa,Married,28000,28000,236,131,0,25,31,Degree,General Secretary,Eastern Cape,6229,0.007,0 - 1.5%,1,1,1,10
8,Installed,46,Male,Xhosa,Married,70000,45000,250,111,25000,26,27,Degree,Director,Free State,9301,0.002,0 - 1.5%,1,1,1,11
9,Cancelled,52,Male,Tsonga,Married,14200,14200,0,0,0,31,1,No Matric,Managing Director,Limpopo,0,0.015,1.5 - 2.5%,1,1,0,1
10,Installed,43,Male,Xhosa,Married,43000,25000,341,201,18000,31,1,Degree,Superintendent - Police,Eastern Cape,0,0.005,0 - 1.5%,1,1,1,10
11,Installed,40,Male,Sepedi,Married,14800,14800,284,206,0,22,22,Postgraduate,School Teacher,Gauteng,0,0.014,0 - 1.5%,1,1,1,11
12,Installed,37,Male,Venda,Single,13000,13000,192,163,0,25,25,Diploma,Distribution Manager,Gauteng,2090,0.013,0 - 1.5%,1,1,1,11
13,Cancelled,30,Male,Zulu,Married,12800,12800,0,0,0,1,28,Matric,Logistics Controller,Gauteng,1609,0.021,1.5 - 2.5%,1,0,0,0
14,Installed,31,Male,Zulu,Single,28000,28000,193,144,0,25,25,Degree,Financial Consultant,Gauteng,1426,0.014,0 - 1.5%,1,1,1,10
15,Cancelled,34,Male,Setswana,Single,5000,5000,0,0,0,7,7,No Matric,Mine Worker,North West,383,0.059,5% +,1,1,0,7
16,Installed,55,Male,English,Divorced,20000,20000,1643,367,0,7,7,No Matric,Manager/Owner,Gauteng,0,0.018,1.5 - 2.5%,1,1,1,11
17,Installed,30,Female,Sepedi,Single,6500,6500,200,136,0,28,28,Matric,Customer Liaison Officer,Gauteng,0,0.021,1.5 - 2.5%,1,1,1,9
18,Installed,35,Male,Xhosa,Single,12700,12700,131,117,0,15,15,Matric,Admin Clerk,Eastern Cape,0,0.009,0 - 1.5%,1,1,1,10
19,Installed,44,Male,Sotho,Married,13400,13400,0,0,0,25,25,No Matric,Machine Operator,Limpopo,610,0.009,0 - 1.5%,1,1,1,8
20,Installed,41,Male,Xhosa,Married,28000,28000,293,189,0,15,15,Degree,Social Worker,Eastern Cape,0,0.007,0 - 1.5%,1,1,1,8
21,Cancelled,40,Female,Xhosa,Married,46000,30000,0,0,16000,25,30,Degree,Quantity Surveyor,Eastern Cape,0,0.003,0 - 1.5%,1,1,0,6
22,Cancelled,39,Male,English,Married,22000,9500,0,0,12500,27,27,No Matric,Process Controller,Western Cape,7785,0.015,1.5 - 2.5%,1,1,0,4
23,Installed,44,Female,Zulu,Married,30000,18180,367,143,11820,15,15,Degree,Teacher,KwaZulu-Natal,3960,0.005,0 - 1.5%,1,1,1,11
24,Installed,50,Male,English,Married,18000,18000,642,660,0,25,31,Certificate,Catering Manager,Gauteng,0,0.016,1.5 - 2.5%,1,1,1,11
25,Installed,46,Male,Sepedi,Married,13000,7366,335,300,5634,15,16,No Matric,"Truck Driver - Heavy Duty, Local/Regional Only",Limpopo,1632,0.033,2.5 - 5%,1,1,1,12
26,Installed,47,Male,Venda,Married,14722,14722,0,0,0,15,15,No Matric,Military Goods Salesman,Gauteng,157,0.01,0 - 1.5%,1,1,1,1
